Name,item_category,item_brand,item_weight,item_type
"пюре gerber чернослив с 4 месяцев, 4*80г",Товары для мам и детей,gerber,0.624 кг,пюре
"пюре gerber цветная капуста с 4 месяцев, 4*130г",Товары для мам и детей,gerber,0.882 кг,пюре
"сыр margot fromages gruyere aoc (грюйер) 49%, 200г","Молоко, сыр, яйца",margot fromages,0.2 кг,сыр
"сыр margot fromages gruyere aoc (грюйер) 49%, 100г","Молоко, сыр, яйца",margot fromages,0.1 кг,сыр
"сыр margot fromages tete de moine aoc (тет де муан) 51%, 100г","Молоко, сыр, яйца",margot fromages,0.1 кг,сыр
"напиток sprite вкус лимона сильногазированный, 2л","Воды, соки, напитки",sprite,2.054 кг,напиток
"напиток coca-cola сильногазированный, 2л","Воды, соки, напитки",coca-cola,2.15 кг,напиток
"шампунь librederm витамин f, 250мл","Красота, гигиена, бытовая химия",librederm,0.3 кг,шампунь
"шоколад o'zera молочный с апельсином в кубиках, 90г","Хлеб, сладости, снеки",o'zera,,шоколад
"колбаса рублевский докторская в белковой оболочке, 560г","Птица, мясо, деликатесы",рублевский мк,0.56 кг,колбаса
"колбаса рублевский ""молочная"" вареная в белковой оболочке в вакууме, 560г","Птица, мясо, деликатесы",рублевский мк,0.56 кг,колбаса
"шоколад alpen gold max fun взрывная карамель, мармелад, печенье 160г","Хлеб, сладости, снеки",alpen gold,0.16 кг,шоколад
"сыр hochland плавленый сливочный, 200г","Молоко, сыр, яйца",hochland,0.2 кг,сыр
"сыр hochland плавленый с ветчиной, 200г","Молоко, сыр, яйца",hochland,0.2 кг,сыр
"сыр hochland плавленый с грибами, 200г","Молоко, сыр, яйца",hochland,0.2 кг,сыр
"сыр hochland плавленый с грибами 45% ломтиками, 150г (8шт)","Молоко, сыр, яйца",hochland,0.15 кг,сыр
"сыр рузский мягкий 45%, 270г","Молоко, сыр, яйца",рузское молоко,0.27 кг,сыр
"кофе nescafe classic растворимый, 250г пакет","Чай, кофе, сахар",nescafe,0.266 кг,кофе
"колбаса дымов вареная телячья в/у, 450г","Птица, мясо, деликатесы",дымов,0.45 кг,колбаса
"шампунь garnier fructis ""густые и роскошные"" укрепляющий для более густых, утолщенных волос, 400мл","Красота, гигиена, бытовая химия",garnier,0.44 кг,шампунь
"шампунь garnier fructis ""густые и роскошные"" укрепляющий для более густых, утолщенных волос, 250мл","Красота, гигиена, бытовая химия",garnier,0.28 кг,шампунь
"сыр laime премиум 50%, 240г","Молоко, сыр, яйца",laime,0.24 кг,сыр
"сыр laime российский 50%, 240г","Молоко, сыр, яйца",laime,0.24 кг,сыр
"сыр laime сливочный 50%, 240г","Молоко, сыр, яйца",laime,0.24 кг,сыр
"сыр laime сметанковый 50%, 240г","Молоко, сыр, яйца",laime,0.24 кг,сыр
"сыр laime тильзитер 50%, 240г","Молоко, сыр, яйца",laime,0.24 кг,сыр
"сыр laime российский 50%, 150г ломтики","Молоко, сыр, яйца",laime,0.15 кг,сыр
"сыр laime сливочный 50%, 150г ломтики","Молоко, сыр, яйца",laime,0.15 кг,сыр
"сыр laime сметанковый 50%, 150г нарезка","Молоко, сыр, яйца",laime,0.15 кг,сыр
"сыр laime тильзитер 50%, 150г нарезка","Молоко, сыр, яйца",laime,0.15 кг,сыр
"шампунь planeta organica ""финский"" мягкий для ослабленных волос и чувствительной кожи головы, 280мл","Красота, гигиена, бытовая химия",planeta organica,0.312 кг,шампунь
"шампунь planeta organica ""хаммам"" укрепляющий для всех типов волос, 280мл","Красота, гигиена, бытовая химия",planeta organica,0.308 кг,шампунь
"шампунь planeta organica ""алеппский"" питательный для всех типов волос, 280мл","Красота, гигиена, бытовая химия",planeta organica,0.308 кг,шампунь
"напиток adrenaline juicy апельсин энергетический, 0,5л","Воды, соки, напитки",adrenaline,0.54 кг,напиток
"напиток adrenaline red energy энергетический, 0,5л","Воды, соки, напитки",adrenaline,0.54 кг,напиток
"сыр emmi raclette (раклетт) классический полутвердый нарезка 45%0,2кг","Молоко, сыр, яйца",emmi,0.2 кг,сыр
"колбаса велком краковская полукопченая в/у, 450г","Птица, мясо, деликатесы",велком,0.45 кг,колбаса
"колбаса велком кальяри сырокопченая сухая в/у, 235г","Птица, мясо, деликатесы",велком,0.235 кг,колбаса
"колбаса велком чикен салями №2 сырокопченая полусухая в/у, 230г","Птица, мясо, деликатесы",велком,0.23 кг,колбаса
"зубная паста рецепты бабушки агафьи ""брусничная"", 75мл","Красота, гигиена, бытовая химия",рецепты бабушки агафьи,0.113 кг,зубная паста
"пюре спеленок цветная капуста для детей от 4 месяцев, 80г",Товары для мам и детей,спеленок,0.178 кг,пюре
"пюре спеленок капуста брокколи для детей от 4 месяцев, 80г",Товары для мам и детей,спеленок,0.178 кг,пюре
"зубная паста lacalut fluor, 75мл","Красота, гигиена, бытовая химия",lacalut,0.1 кг,зубная паста
"зубная паста lacalut basic цитрусовый, 75мл","Красота, гигиена, бытовая химия",lacalut,0.1 кг,зубная паста
"зубная паста lacalut aktiv herbal, 75мл","Красота, гигиена, бытовая химия",lacalut,0.114 кг,зубная паста
"зубная паста lacalut white alpenminze, 75мл","Красота, гигиена, бытовая химия",lacalut,0.1 кг,зубная паста
"зубная паста lacalut extra sensitive, 50мл","Красота, гигиена, бытовая химия",lacalut,0.074 кг,зубная паста
"корм для кошек dr.alders my lady premium anti-hairball мясо птицы, 85г",Зоотовары,dr.alder's,0.085 кг,корм
"корм для кошек dr.alders my lady premium adult индейка, 85г",Зоотовары,dr.alder's,0.09 кг,корм
"корм для кошек dr.alders my lady premium weight control лосось, 85г",Зоотовары,dr.alder's,0.092 кг,корм
"корм для кошек dr.alders my lady premium kitten домашняя птица, 85г*24шт",Зоотовары,dr.alder's,2.296 кг,корм
"корм для кошек dr.alders my lady premium anti-hairball мясо курицы, 85г*24шт",Зоотовары,dr.alder's,2.296 кг,корм
"корм для кошек dr.alders my lady premium adult индейка, 85г*24шт",Зоотовары,dr.alder's,2.32 кг,корм
"корм для кошек dr.alders my lady premium weight control лосось, 85г*24шт",Зоотовары,dr.alder's,2.32 кг,корм
"кофе egoiste private сублимированный, 100г стекло","Чай, кофе, сахар",egoiste,0.43 кг,кофе
"кофе egoiste platinum сублимированный, 100г стекло","Чай, кофе, сахар",egoiste,0.43 кг,кофе
"кофе egoiste noir в зернах, 1кг в/у","Чай, кофе, сахар",egoiste,1.014 кг,кофе
"кофе today green, 95г стекло","Чай, кофе, сахар",today,0.314 кг,кофе
"чай черный дракон зеленый с женьшенем, 100г","Чай, кофе, сахар",черный дракон,0.108 кг,чай
"сыр galbani плавленный моцарелла ломтевой, 300г","Молоко, сыр, яйца",galbani,0.3 кг,сыр
"колбаса рублевский мк балыковая в/к, 400г","Птица, мясо, деликатесы",рублевский мк,0.4 кг,колбаса
"напиток nestle nestogen-4 молочный сухой детское молочко с пребиотиками для детей с 18 месяцев, 350г",Товары для мам и детей,nestogen,0.402 кг,напиток
"зубная паста natura siberica ""7 северных трав"" 100гр.","Красота, гигиена, бытовая химия",natura siberica,0.1 кг,зубная паста
"зубная паста natura siberica ""жемчужина сибири"" 100гр.","Красота, гигиена, бытовая химия",natura siberica,0.15 кг,зубная паста
"шампунь natura siberica для мужчин «мощь марала» против перхоти , 250мл.","Красота, гигиена, бытовая химия",natura siberica,0.365 кг,шампунь
"сыр bonfesto моцарелла 45%, 150г (3 шарика по 50г)","Молоко, сыр, яйца",bonfesto,0.15 кг,сыр
"сыр bonfesto моцарелла 45%, 125г (1 шарик 125 г)","Молоко, сыр, яйца",bonfesto,0.125 кг,сыр
"сыр bonfesto моцарелла для панини с паприкой, 45% 250г","Молоко, сыр, яйца",bonfesto,0.25 кг,сыр
"сыр bonfesto моцарелла 45%, 125г (5 шариков по 25г)","Молоко, сыр, яйца",bonfesto,0.125 кг,сыр
"сыр bonfesto моцарелла 45%, 100г (12 шариков по 8г)","Молоко, сыр, яйца",bonfesto,0.1 кг,сыр
"сыр bonfesto моцарелла ""пицца"" 45%, 250г","Молоко, сыр, яйца",bonfesto,0.25 кг,сыр
"сыр bonfesto моцарелла 45%, 100г (1 шарик 100г)","Молоко, сыр, яйца",bonfesto,0.1 кг,сыр
"сыр bonfesto маскарпоне 78%, 250г","Молоко, сыр, яйца",bonfesto,0.25 кг,сыр
"сыр bonfesto маскарпоне 78%, 500г","Молоко, сыр, яйца",bonfesto,0.5 кг,сыр
"сыр bonfesto рикотта 40%, 250г","Молоко, сыр, яйца",bonfesto,0.25 кг,сыр
"сыр bonfesto provola afumicata копченый, 45% 250г","Молоко, сыр, яйца",bonfesto,0.235 кг,сыр
"сыр mlekara sabac сербская брынза, 45% 250г","Молоко, сыр, яйца",mlekara sabac,0.25 кг,сыр
"сыр mlekara sabac сербская брынза, 45% 450г","Молоко, сыр, яйца",mlekara sabac,0.45 кг,сыр
"сыр columbus тильзитер 45%, 300г","Молоко, сыр, яйца",columbus,0.3 кг,сыр
"сыр columbus эдам 40%, 150г","Молоко, сыр, яйца",columbus,0.15 кг,сыр
"шампунь librederm гиалуроновый с аргановым маслом, интенсивный увлажняющий, 250мл","Красота, гигиена, бытовая химия",librederm,0.3 кг,шампунь
"корм для взрослых собак chappi с говядиной по-домашнему, 100г",Зоотовары,chappi,0.1 кг,корм
"корм для взрослых собак chappi с курочкой аппетитной, 100г",Зоотовары,chappi,0.102 кг,корм
"корм для взрослых собак chappi мясное изобилие, 100г",Зоотовары,chappi,0.106 кг,корм
"корм для взрослых кошек sheba pleasure с уткой и цыпленком, 24шт*85г",Зоотовары,sheba,2.25 кг,корм
"корм для взрослых собак chappi с говядиной по-домашнему, 24шт*100г",Зоотовары,chappi,2.58 кг,корм
"корм для взрослых собак chappi с курочкой аппетитной, 24шт*100г",Зоотовары,chappi,2.65 кг,корм
"корм для взрослых собак chappi мясное изобилие, 24шт*100г",Зоотовары,chappi,2.642 кг,корм
"корм для взрослых кошек sheba pleasure с уткой и цыпленком, 85г",Зоотовары,sheba,0.088 кг,корм
"шоколад kinder молочный макси, 4*21г","Хлеб, сладости, снеки",kinder,,шоколад
"напиток палпи сокосодержащий из апельсина с мякотью 0,9л","Воды, соки, напитки",добрый,0.968 кг,напиток
сыр schonfeld тильзитер 45% 250г,"Молоко, сыр, яйца",schonfeld,0.25 кг,сыр
"сыр valio тильзит 45%, 140г","Молоко, сыр, яйца",valio,0.14 кг,сыр
"сыр valio российский 50%, 140г нарезка","Молоко, сыр, яйца",valio,0.14 кг,сыр
"кофе в капсулах tassimo jacobs американо молотый, 16*9г (144г)","Чай, кофе, сахар",jacobs,0.26 кг,кофе
"чай curtis sunny lemon черный байховый, 20пак*1,7г","Чай, кофе, сахар",curtis,0.058 кг,чай
"сыр сheese gallery лайт 20%, 150г нарезка","Молоко, сыр, яйца",cheese gallery,0.15 кг,сыр
"сыр сheese gallery лайт 20%, 250г","Молоко, сыр, яйца",cheese gallery,0.25 кг,сыр
"чай richard lord grey черный байховый, 25пак*2г","Чай, кофе, сахар",richard,0.09 кг,чай
"чай richard king's tea №1 черный байховый, 100пак*2г","Чай, кофе, сахар",richard,0.26 кг,чай
"чай richard royl ceylon черный байховый, 100пак*2г","Чай, кофе, сахар",richard,0.262 кг,чай
"чай майский ""душистый чабрец"" черный, 25 сашетов*2г","Чай, кофе, сахар",майский,0.092 кг,чай
"чай майский ""смородина с мятой"" черный, 25 сашетов*2г","Чай, кофе, сахар",майский,0.09 кг,чай
"чай лисма ""насыщенный"" индийский черный, 100пак*1,8г","Чай, кофе, сахар",лисма,0.248 кг,чай
"пюре тёма цыпленок с гречкой с 6 месяцев, 100г",Товары для мам и детей,тёма,0.13 кг,пюре
"пюре тёма цыпленок с кабачками морковью и рисом с 6 месяцев, 100г",Товары для мам и детей,тёма,0.13 кг,пюре
"пюре тёма говядина с брокколи морковью рисом с 6 месяцев, 100г",Товары для мам и детей,тёма,0.13 кг,пюре
"напиток палпи сокосодержащий тропический с мякотью 0,9л","Воды, соки, напитки",добрый,0.97 кг,напиток
"напиток coca-cola сильногазированный, 2шт*1,5л","Воды, соки, напитки",coca-cola,3.196 кг,напиток
"напиток coca-cola сильногазированный, 4шт*0,33л","Воды, соки, напитки",coca-cola,1.43 кг,напиток
"сыр zuger моцарелла 45%, 100г (1 шарик 100г)","Молоко, сыр, яйца",zuger,0.1 кг,сыр
"сыр zuger моцарелла ""пицца"" 42%, 1кг","Молоко, сыр, яйца",zuger,1 кг,сыр
"сыр zuger mascarpone-creme мягкий сливочный 80%, 250г","Молоко, сыр, яйца",zuger,0.25 кг,сыр
"сыр zuger frischkase молодой творжный натуральный 66%, 150г","Молоко, сыр, яйца",zuger,0.15 кг,сыр
"корм для взрослых кошек felix sensations с индейкой в соусе со вкусом бекона, 85г",Зоотовары,felix,0.09 кг,корм
"корм для взрослых кошек felix sensations с треской в соусе с томатами, 85г",Зоотовары,felix,0.09 кг,корм
"корм gourmet a la carte для кошек, с домашней птицей a la provencale, с баклажаном, цукини и томатом, 24*85г",Зоотовары,gourmet,2.45 кг,корм
"шампунь axe black для нормальных волос, 250мл","Красота, гигиена, бытовая химия",axe,0.507 кг,шампунь
"кофе жокей арабика молотый для турки, 200г","Чай, кофе, сахар",жокей,0.204 кг,кофе
"шампунь vichy для жирных волос регулирующий 0,2л","Красота, гигиена, бытовая химия",vichy,0.252 кг,шампунь
"сыр galbani моцарелла 45%, 200г (8 шариков по 25г)","Молоко, сыр, яйца",galbani,0.2 кг,сыр
"колбаса эколь халяль сервелат варено-копченая ""восточный"" в вакууме, 350г","Птица, мясо, деликатесы",эколь,0.35 кг,колбаса
"колбаса эколь халяль сервелат варено-копченая в вакууме, 400г","Птица, мясо, деликатесы",эколь,0.4 кг,колбаса
"колбаса эколь сырокопченая ""говяжья халяль"" нарезка в вакууме, 150г","Птица, мясо, деликатесы",эколь,0.15 кг,колбаса
"колбаса эколь сырокопченая ""элитная халяль"" нарезка в вакууме, 150г","Птица, мясо, деликатесы",эколь,0.15 кг,колбаса
"кофе жокей империал растворимый сублимированный, 95г стекло","Чай, кофе, сахар",жокей,0.404 кг,кофе
"кофе жокей империал растворимый сублимированный, 150г","Чай, кофе, сахар",жокей,0.162 кг,кофе
"кофе жокей традиционный молотый, 250г","Чай, кофе, сахар",жокей,0.26 кг,кофе
кофе жокей italiano арабика молотый 250г,"Чай, кофе, сахар",жокей,0.25 кг,кофе
"зубная паста sensodyne ""восстановление и защита"", 75мл","Красота, гигиена, бытовая химия",sensodyne,0.118 кг,зубная паста
"зубная паста aquafresh ""комплексная защита"", 100мл","Красота, гигиена, бытовая химия",aquafresh,0.148 кг,зубная паста
"зубная паста aquafresh комплексная защита ""отбеливание"", 100мл","Красота, гигиена, бытовая химия",aquafresh,0.15 кг,зубная паста
"зубная паста aquafresh комплексная защита ""экстра свежесть"", 100мл","Красота, гигиена, бытовая химия",aquafresh,0.15 кг,зубная паста
"зубная паста aquafresh ""безупречное отбеливание"",100мл","Красота, гигиена, бытовая химия",aquafresh,0.148 кг,зубная паста
"сыр hochland творожный сливочный 60%, 140г","Молоко, сыр, яйца",hochland,0.14 кг,сыр
"шампунь авз ""4 с хвостиком"" репеллентный для кошек и собак, 180мл (1х30) 04.2016.",Зоотовары,авз,0.2 кг,шампунь
"шампунь авз ""шустрик"" для грызунов дезодорирующий, 100мл",Зоотовары,авз,0.1 кг,шампунь
"шампунь авз ""морской"" с провитамином в-5 для жесткошерстных собак, 270мл",Зоотовары,авз,0.27 кг,шампунь
"шампунь авз ""нежный"" гипоаллергенный с хитозаном для кошек, 180мл",Зоотовары,авз,0.18 кг,шампунь
"шампунь авз ""нежный"" гипоаллергенный с хитозаном и алоэ вера для собак, 270мл",Зоотовары,авз,0.3 кг,шампунь
"шампунь l'oreal elseve полное восстановление 5, 250мл","Красота, гигиена, бытовая химия",l'oreal,0.282 кг,шампунь
"пюре semper морковь для детей с 4 месяцев, 125г",Товары для мам и детей,semper,0.219 кг,пюре
"пюре semper телятина для детей с 6 месяцев, 90г",Товары для мам и детей,semper,0.17 кг,пюре
"пюре semper индейка для детей с 6 месяцев, 90г",Товары для мам и детей,semper,0.172 кг,пюре
"пюре semper говядина для детей с 6 месяцев, 90г",Товары для мам и детей,semper,0.175 кг,пюре
"пюре semper спагетти болоньезе для детей с 12 месяцев, 190г",Товары для мам и детей,semper,0.31 кг,пюре
"сыр galbani маскарпоне 80%, 250 г","Молоко, сыр, яйца",galbani,0.25 кг,сыр
"сыр columbus гауда 48% нарезка, 150г","Молоко, сыр, яйца",columbus,0.15 кг,сыр
"колбаса велком брауншвейгская сырокопченая, 0,3кг","Птица, мясо, деликатесы",велком,0.3 кг,колбаса
"колбаса велком домашнего копчения варено-копченая, 470г","Птица, мясо, деликатесы",велком,0.47 кг,колбаса
"колбаса велком сырокопченая сервелат n5, 300г","Птица, мясо, деликатесы",велком,0.3 кг,колбаса
"колбаса велком велкомовская сырокопченая сухая, 300г","Птица, мясо, деликатесы",велком,0.3 кг,колбаса
"колбаса велком молочная вареная, 500г","Птица, мясо, деликатесы",велком,0.5 кг,колбаса
"колбаса велком русская вареная, 500г","Птица, мясо, деликатесы",велком,0.5 кг,колбаса
"колбаса окраина московская варено-копченая, 320г в/у","Птица, мясо, деликатесы",окраина,0.32 кг,колбаса
шампунь чистая линия фитобаня для всех типов волос 400мл,"Красота, гигиена, бытовая химия",чистая линия,0.456 кг,шампунь
шампунь мягкий для детей дракоша с ароматом земляники 240мл,Товары для мам и детей,дракоша,0.29 кг,шампунь
"шампунь happy moments маленькая фея увлажняющий для девочек, 250мл",Товары для мам и детей,happy moments,0.3 кг,шампунь
зубная паста лесной бальзам против кровоточивости десен 75мл,"Красота, гигиена, бытовая химия",лесной бальзам,0.105 кг,зубная паста
"шампунь sanosan для младенцев, 200мл",Товары для мам и детей,sanosan,0.24 кг,шампунь
"колбаса окраина ливерная яичная, 400г","Птица, мясо, деликатесы",окраина,0.4 кг,колбаса
"колбаса окраина вареная докторская гост, 500г","Птица, мясо, деликатесы",окраина,0.5 кг,колбаса
"напиток coca-cola, 0,25л ж/б","Воды, соки, напитки",coca-cola,0.27 кг,напиток
"пюре gerber 4 фрукта для детей с 6 месяцев, 90г",Товары для мам и детей,gerber,0.1 кг,пюре
"пюре gerber яблоко банан для детей с 6 месяцев, 90г",Товары для мам и детей,gerber,0.1 кг,пюре
"пюре gerber яблоко для детей с 4 месяцев, 90г",Товары для мам и детей,gerber,0.1 кг,пюре
"шампунь schwarzkopf schauma ""кристальный блеск"", 380мл","Красота, гигиена, бытовая химия",schwarzkopf,0.423 кг,шампунь
"шампунь syoss ""anti-hair fall"", 500мл","Красота, гигиена, бытовая химия",syoss,0.523 кг,шампунь
"напиток sanpellegrino aranciata (санпеллегрино апельсин) безалкогольный газированный сокосодержащий, 0,33л","Воды, соки, напитки",sanpellegrino,0.356 кг,напиток
"напиток sanpellegrino aranciata rossa (санпеллегрино красный апельсин) безалкогольный газированный сокосодержащий, 0,33л","Воды, соки, напитки",sanpellegrino,0.36 кг,напиток
"напиток sanpellegrino limonata (санпеллегрино лимон) безалкогольный газированный сокосодержащий, 0,33л","Воды, соки, напитки",sanpellegrino,0.4 кг,напиток
"шоколад молочный kit kat king с хрустящей вафлей, 87г","Хлеб, сладости, снеки",nestle,,шоколад
"кофе jacobs velour натуральный растворимый порошкообразный, 140г","Чай, кофе, сахар",jacobs,0.148 кг,кофе
"сыр valio голландский 45%, 140г нарезка","Молоко, сыр, яйца",valio,0.14 кг,сыр
"сыр valio английский 48%, 140г нарезка","Молоко, сыр, яйца",valio,0.14 кг,сыр
"корм для кошек меню от зоогурмана говядина деликатесная, 125г",Зоотовары,зоогурман,0.128 кг,корм
"корм для котят меню от зоогурмана говядина нежная, 125г",Зоотовары,зоогурман,0.13 кг,корм
"корм для собак меню от зоогурмана барашек по-памирски, 410г ж/б",Зоотовары,зоогурман,0.454 кг,корм
"корм для собак меню от зоогурмана барашек с овощами, 410г ж/б",Зоотовары,зоогурман,0.458 кг,корм
"корм для щенков меню от зоогурмана говядина нежная, 410г ж/б",Зоотовары,зоогурман,0.43 кг,корм
"корм для собак меню от зоогурмана говядина по-охотничьи, 410г ж/б",Зоотовары,зоогурман,0.452 кг,корм
"корм для собак меню от зоогурмана птица по-царски, 410г ж/б",Зоотовары,зоогурман,0.464 кг,корм
"корм для собак меню от зоогурмана мясное чудо, 410г ж/б",Зоотовары,зоогурман,0.43 кг,корм
"корм для собак меню от зоогурмана говядина по-итальянски, 750г ж/б",Зоотовары,зоогурман,0.84 кг,корм
"корм для собак меню от зоогурмана говядина с овощами, 750г ж/б",Зоотовары,зоогурман,0.775 кг,корм
"корм для собак меню от зоогурмана рагу из индейки, 750г ж/б",Зоотовары,зоогурман,0.83 кг,корм
"корм для собак меню от зоогурмана степная дичь, 750г ж/б",Зоотовары,зоогурман,0.775 кг,корм
"колбаса егорьевская кгф докторская вареная, 450г","Птица, мясо, деликатесы",егорьевская фкг,0.45 кг,колбаса
"колбаса егорьевская кгф №1 вареная на цельном молоке, 200г нарезка","Птица, мясо, деликатесы",егорьевская фкг,0.2 кг,колбаса
"корм для кошек меню от зоогурмана говядина традиционная, 125г",Зоотовары,зоогурман,0.14 кг,корм
"корм для кошек меню от зоогурмана индейка по-домашнему, 125г",Зоотовары,зоогурман,0.14 кг,корм
"колбаса егорьевская кгф №2 вареная, 200г нарезка","Птица, мясо, деликатесы",егорьевская фкг,0.2 кг,колбаса
"колбаса егорьевская фкг мортаделла вареная с фисташками, 200г нарезка","Птица, мясо, деликатесы",егорьевская фкг,0.2 кг,колбаса
"шоколад ""диyes"" горький на фруктозе, 100г","Хлеб, сладости, снеки",диyes,0.1 кг,шоколад
"шоколад ""диyes"" горький с фундуком на изомальте, 80г","Хлеб, сладости, снеки",диyes,,шоколад
"пюре тема говядина с 6 месяцев, 100г",Товары для мам и детей,тёма,0.13 кг,пюре
"пюре тема телятина с 6 месяцев, 100г",Товары для мам и детей,тёма,0.13 кг,пюре
"пюре тема говядина с языком с 8 месяцев, 100г",Товары для мам и детей,тёма,0.13 кг,пюре
"пюре тема мясо цыплят с говядиной с 6 месяцев, 100г",Товары для мам и детей,тёма,0.13 кг,пюре
"пюре тема мясо индейки с 6 месяцев, 100г",Товары для мам и детей,тёма,0.13 кг,пюре
"чай hyleys ""гармония природы"" черный с чабрецом, 25пак*1,5г","Чай, кофе, сахар",hyleys,0.082 кг,чай
"сыр arla natura сливочный 45%, 200г","Молоко, сыр, яйца",arla,0.2 кг,сыр
"сыр arla natura сливочный 45%, 400г","Молоко, сыр, яйца",arla,0.4 кг,сыр
"напиток nan 3 кисломолочный для детей с 12 месяцев, 400г",Товары для мам и детей,,0.51 кг,напиток
"напиток coca-cola zero 0,33л","Воды, соки, напитки",coca-cola,0.362 кг,напиток
"напиток coca-cola zero 0,5л","Воды, соки, напитки",coca-cola,0.52 кг,напиток
"напиток coca-cola zero 1,5л","Воды, соки, напитки",coca-cola,1.454 кг,напиток
"пюре gerber овощной салатик для детей с 5 месяцев, 130г",Товары для мам и детей,gerber,0.22 кг,пюре
"сыр hochland плавленый с ветчиной 55%, 140г","Молоко, сыр, яйца",hochland,0.14 кг,сыр
"сыр hochland плавленый ассорти 45% ломтиками, 150г (8шт)","Молоко, сыр, яйца",hochland,0.15 кг,сыр
"сыр hochland творожный с зеленью 60%, 140г","Молоко, сыр, яйца",hochland,0.14 кг,сыр
"корм для стерилизованных кошек royal canin sterilised 37 jelly, 85г",Зоотовары,royal canin,0.088 кг,корм
"сыр laime пармезан 40%, 200г","Молоко, сыр, яйца",laime,0.2 кг,сыр
"сыр laime пармезан 40%, 175г","Молоко, сыр, яйца",laime,0.175 кг,сыр
"сыр lesuperbe швейцарский 49%, 180г","Молоко, сыр, яйца",lesuperbe,0.18 кг,сыр
"корм friskies для взрослых кошек консервированный полнорационный, с ягненком в подливе, 2кг",Зоотовары,friskies,2.45 кг,корм
"корм friskies для взрослых кошек консервированный полнорационный, с говядиной в подливе, 2кг",Зоотовары,friskies,2.282 кг,корм
"корм friskies для взрослых кошек консервированный полнорационный, с курицей в подливе, 2кг",Зоотовары,friskies,2.282 кг,корм
"корм friskies для взрослых кошек консервированный полнорационный, с уткой в подливе, 2кг",Зоотовары,friskies,2.282 кг,корм
"сыр arla natura тильзитер 45%, 250г","Молоко, сыр, яйца",arla,0.25 кг,сыр
"сыр arla natura тильзитер 45%, 150г нарезка","Молоко, сыр, яйца",arla,0.15 кг,сыр
"сыр hochland творожный с зеленью 60%, 220г","Молоко, сыр, яйца",hochland,0.22 кг,сыр
"сыр hochland творожный сливочный 60%, 220г","Молоко, сыр, яйца",hochland,0.22 кг,сыр
"шампунь organic shop ""кокосовый рай"", 500мл","Красота, гигиена, бытовая химия",organic shop,0.5 кг,шампунь
"шампунь organic shop ""освежающий lime"", 500мл","Красота, гигиена, бытовая химия",organic shop,0.55 кг,шампунь
"зубная паста r.o.c.s. bionica для чувствительных зубов, 74г","Красота, гигиена, бытовая химия",r.o.c.s.,0.086 кг,зубная паста
"зубная паста r.o.c.s. bionica, 74г","Красота, гигиена, бытовая химия",r.o.c.s.,0.086 кг,зубная паста
"зубная паста невская косметика новый жемчуг фтор, 125мл","Красота, гигиена, бытовая химия",невская косметика,0.199 кг,зубная паста
"зубная паста невская косметика новый жемчуг с ромашкой, 100мл","Красота, гигиена, бытовая химия",невская косметика,0.136 кг,зубная паста
"зубная паста невская косметика новый жемчуг с шалфеем, 100мл","Красота, гигиена, бытовая химия",невская косметика,0.134 кг,зубная паста
"зубная паста невская косметика новый жемчуг ""тотал 12"", 100мл","Красота, гигиена, бытовая химия",невская косметика,0.138 кг,зубная паста
"зубная паста невская косметика новый жемчуг ""отбеливающая"", 100мл","Красота, гигиена, бытовая химия",невская косметика,0.148 кг,зубная паста
"зубная паста невская косметика новый жемчуг ""малина"" для детей 1-6 лет, 50мл",Товары для мам и детей,невская косметика,0.07 кг,зубная паста
"зубная паста невская косметика детский жемчуг ""волшебные фрукты"", 50мл",Товары для мам и детей,невская косметика,0.078 кг,зубная паста
"шампунь ушастый нянь детский с ромашкой, 200мл",Товары для мам и детей,ушастый нянь,0.233 кг,шампунь
шампунь для волос и тела ушастый нянь 300мл,Товары для мам и детей,ушастый нянь,0.334 кг,шампунь
"шампунь невская косметика ""детский"", 200мл",Товары для мам и детей,невская косметика,0.21 кг,шампунь
"кофе nescafe classic растворимый гранулированный, 95г стекло","Чай, кофе, сахар",nescafe,0.1 кг,кофе
"шампунь nivea ""эффектный объем"", 250мл","Красота, гигиена, бытовая химия",nivea,0.285 кг,шампунь
"зубная паста r.o.c.s. sensitive ""восстановление и отбеливание"" для чувствительных зубов, 94г","Красота, гигиена, бытовая химия",r.o.c.s.,0.11 кг,зубная паста
"зубная паста r.o.c.s. sensitive ""мгновенный эффект"", для чувствительных зубов 94г","Красота, гигиена, бытовая химия",r.o.c.s.,0.11 кг,зубная паста
"шампунь librederm пантенол восстанавливающий, 250мл","Красота, гигиена, бытовая химия",librederm,0.289 кг,шампунь
"чай lipton черный байховый ""heart of ceylon"", 25п*2г (50г)","Чай, кофе, сахар",lipton,0.092 кг,чай
"пюре фрутоняня из тыквы для детей с 5 месяцев, 80г",Товары для мам и детей,фрутоняня,0.16 кг,пюре
"пюре фрутоняня из цветной капусты и кабачков для детей с 5 месяцев, 80г",Товары для мам и детей,фрутоняня,0.17 кг,пюре
"пюре фрутоняня из кабачков и картофеля для детей с 5 месяцев, 80г",Товары для мам и детей,фрутоняня,0.168 кг,пюре
"пюре фрутоняня гипоаллергенное из мяса кролика для детей с 6 месяцев, 80г",Товары для мам и детей,фрутоняня,0.162 кг,пюре
"пюре фрутоняня из говядины с гречкой и морковью для детей с 8 месяцев, 100г",Товары для мам и детей,фрутоняня,0.202 кг,пюре
